nct_id,category,race/ethnicity,title,units,param_type,start_date,brief_title,official_title,overall_status,phase,enrollment_type,id,intervention_type,drug,enrollment,number_of_arms,year,param_value
NCT00054665,American Indian or Alaska Native,American Indian/ Alaska Native,Race (NIH/OMB),Participants,Count of Participants,2003-02-28,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,Completed,Phase 2,Actual,41082731,Drug,bortezomib,50,2,2003,0
NCT00054665,Asian,Asian/ Asian Heritage,Race (NIH/OMB),Participants,Count of Participants,2003-02-28,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,Completed,Phase 2,Actual,41082731,Drug,bortezomib,50,2,2003,0
NCT00054665,Black or African American,Black/ Black Heritage,Race (NIH/OMB),Participants,Count of Participants,2003-02-28,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,Completed,Phase 2,Actual,41082731,Drug,bortezomib,50,2,2003,4
NCT00054665,Hispanic or Latino,Hispanic/ Latino,Ethnicity (NIH/OMB),Participants,Count of Participants,2003-02-28,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,Completed,Phase 2,Actual,41082731,Drug,bortezomib,50,2,2003,1
NCT00054665,More than one race,Mixed,Race (NIH/OMB),Participants,Count of Participants,2003-02-28,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,Completed,Phase 2,Actual,41082731,Drug,bortezomib,50,2,2003,0
NCT00054665,Native Hawaiian or Other Pacific Islander,Hawaiian/ Other Pacific Islander,Race (NIH/OMB),Participants,Count of Participants,2003-02-28,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,Completed,Phase 2,Actual,41082731,Drug,bortezomib,50,2,2003,0
NCT00054665,Not Hispanic or Latino,White/ White Heritage,Ethnicity (NIH/OMB),Participants,Count of Participants,2003-02-28,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,Completed,Phase 2,Actual,41082731,Drug,bortezomib,50,2,2003,48
NCT00054665,Unknown or Not Reported,Unknown or Not Reported,Ethnicity (NIH/OMB),Participants,Count of Participants,2003-02-28,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,Completed,Phase 2,Actual,41082731,Drug,bortezomib,50,2,2003,1
NCT00054665,Unknown or Not Reported,Unknown or Not Reported,Race (NIH/OMB),Participants,Count of Participants,2003-02-28,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,Completed,Phase 2,Actual,41082731,Drug,bortezomib,50,2,2003,1
NCT00054665,White,White/ White Heritage,Race (NIH/OMB),Participants,Count of Participants,2003-02-28,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,Completed,Phase 2,Actual,41082731,Drug,bortezomib,50,2,2003,45
NCT00062439,American Indian or Alaska Native,American Indian/ Alaska Native,Race (NIH/OMB),Participants,Count of Participants,2003-07-31,S0220: Chemoradiotherapy Followed By Surgery and Docetaxel in Treating Patients With Pancoast Tumors,"A Phase II Trial of Induction Chemoradiotherapy With Cisplatin/Etoposide Followed by Surgical Resection, Followed by Docetaxel, for Non-Small Cell Lung Cancer Involving the Superior Sulcus (Pancoast Tumors)",Completed,Phase 2,Actual,40777256,Drug,docetaxel,46,1,2003,1
NCT00062439,Asian,Asian/ Asian Heritage,Race (NIH/OMB),Participants,Count of Participants,2003-07-31,S0220: Chemoradiotherapy Followed By Surgery and Docetaxel in Treating Patients With Pancoast Tumors,"A Phase II Trial of Induction Chemoradiotherapy With Cisplatin/Etoposide Followed by Surgical Resection, Followed by Docetaxel, for Non-Small Cell Lung Cancer Involving the Superior Sulcus (Pancoast Tumors)",Completed,Phase 2,Actual,40777256,Drug,docetaxel,46,1,2003,3
NCT00062439,Black or African American,Black/ Black Heritage,Race (NIH/OMB),Participants,Count of Participants,2003-07-31,S0220: Chemoradiotherapy Followed By Surgery and Docetaxel in Treating Patients With Pancoast Tumors,"A Phase II Trial of Induction Chemoradiotherapy With Cisplatin/Etoposide Followed by Surgical Resection, Followed by Docetaxel, for Non-Small Cell Lung Cancer Involving the Superior Sulcus (Pancoast Tumors)",Completed,Phase 2,Actual,40777256,Drug,docetaxel,46,1,2003,0
