nct_id,phase,start_date,enrollment_type,name,official_title,brief_title,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT00946153,Phase 1/Phase 2,24/07/2009,Actual,lenvatinib,Phase I/II Study of E7080 in Patients With Advanced Hepatocellular Carcinoma (HCC),Study of Lenvatinib (E7080) in Participants With Advanced Hepatocellular Carcinoma (HCC),0,132,0,0,,,0,,0,0
NCT01295827,Phase 1,04/03/2011,Actual,pembrolizumab,"Phase I Study of Single Agent Pembrolizumab (MK-3475) in Patients With Progressive Locally Advanced or Metastatic Carcinoma, Melanoma, and Non-Small Cell Lung Carcinoma (KEYNOTE 001)","Study of Pembrolizumab (MK-3475) in Participants With Progressive Locally Advanced or Metastatic Carcinoma, Melanoma, or Non-small Cell Lung Carcinoma (P07990/MK-3475-001/KEYNOTE-001)",4,162,52,4,126,,8,2390,6,2288
NCT01298570,Phase 2,07/04/2011,Actual,regorafenib (bay 73-4506),"Multi-Center, Randomized, Placebo-Controlled Phase II Study of Regorafenib in Combination With FOLFIRI Versus Placebo With FOLFIRI as Second-Line Therapy in Patients With Metastatic Colorectal Cancer",Regorafenib+FOLFIRI Versus Placebo+FOLFIRI as 2nd Line Tx in Metastatic Colorectal Cancer,0,0,62,0,,,0,,6,294
NCT01354431,Phase 2,31/05/2011,Actual,nivolumab,"A Randomized, Blinded, Phase 2 Dose-Ranging Study Of BMS-936558 (MDX-1106) In Subjects With Progressive, Advanced/Metastatic Clear-Cell Renal Cell Carcinoma Who Have Received Prior Anti-Angiogenic Therapy",BMS-936558 (MDX-1106) In Subjects With Advanced/Metastatic Clear-Cell Renal Cell Carcinoma (RCC),,,,,0,,,320,16,
NCT01472081,Phase 1,09/02/2012,Actual,nivolumab,"A Phase 1 Study of Nivolumab (BMS-936558) Plus Sunitinib, Pazopanib or Ipilimumab in Subjects With Metastatic Renal Cell Carcinoma","Nivolumab (BMS-936558; MDX-1106) in Combination With Sunitinib, Pazopanib, or Ipilimumab in Subjects With Metastatic Renal Cell Carcinoma (RCC) (CheckMate 016)",2,6,10,0,12,,0,268,32,282
NCT01522443,Phase 3,31/03/2012,Actual,cabozantinib,"A Phase 3, Randomized, Double-blind, Controlled Trial of Cabozantinib (XL184) Versus Mitoxantrone Plus Prednisone in Men With Previously Treated Symptomatic Castration-resistant Prostate Cancer",Study of Cabozantinib (XL184) Versus Mitoxantrone Plus Prednisone in Men With Previously Treated Symptomatic Castration-resistant Prostate Cancer,,,,,4,,,228,6,
NCT01585194,Phase 2,29/11/2012,Actual,nivolumab,Phase II Study of Nivolumab in Combination With Ipilimumab for Uveal Melanoma,Nivolumab and Ipilimumab in Treating Patients With Metastatic Uveal Melanoma,0,1,1,0,2,,0,33,0,33
NCT01592370,Phase 1/Phase 2,02/08/2012,Actual,daratumumab,Multiple Phase 1/2 Cohorts of Nivolumab Monotherapy or Nivolumab Combination Regimens Across Relapsed/Refractory Hematologic Malignancies,An Investigational Immuno-Therapy Study to Determine the Safety and Effectiveness of Nivolumab and Daratumumab in Patients With Multiple Myeloma,0,6,52,2,40,,0,554,60,550
NCT01599793,Phase 2,31/05/2012,Actual,cabozantinib,A Phase II Study of MRI Based Functional Imaging for the Evaluation of Bone Metastasis in Men With Castrate Resistant Prostate Cancer Receiving XL184,Magnetic Resonance Imaging in Measuring the Effect of Cabozantinib in Patients With Castrate Resistant Prostate Cancer,0,0,1,0,,,0,,0,16
NCT01605227,Phase 3,31/07/2012,Actual,cabozantinib,"A Phase 3, Randomized, Double-blind, Controlled Study of Cabozantinib (XL184) Versus Prednisone in Metastatic Castration-resistant Prostate Cancer Patients Who Have Received Prior Docetaxel and Prior Abiraterone or MDV3100",Study of Cabozantinib (XL184) Versus Prednisone in Men With Metastatic Castration-resistant Prostate Cancer Previously Treated With Docetaxel and Abiraterone or MDV3100,2,4,40,0,,,0,,440,1570
NCT01621490,Phase 1,27/09/2012,Actual,nivolumab,An Exploratory Study of the Biologic Effects of Nivolumab and Ipilimumab Monotherapy and Nivolumab in Combination With Ipilimumab Treatment in Subjects With Advanced Melanoma (Unresectable or Metastatic),PH 1 Biomarker Study of Nivolumab and Ipilimumab and Nivolumab in Combination With Ipilimumab in Advanced Melanoma,0,2,0,0,12,,0,252,72,334
NCT01630590,Phase 2,08/01/2014,Actual,cabozantinib,An Observational Study of XL-184 Cabozantinib and Androgen Ablation in Patients With Androgen-Dependent Metastatic Prostate Cancer,Cabozantinib and Androgen Ablation in Patients With Androgen-Dependent Metastatic Prostate Cancer,0,0,1,0,5,,0,56,5,57
NCT01642004,Phase 3,16/10/2012,Actual,nivolumab,An Open-Label Randomized Phase III Trial of BMS-936558 (Nivolumab) Versus Docetaxel in Previously Treated Advanced or Metastatic Squamous Cell Non-small Cell Lung Cancer (NSCLC),Study of BMS-936558 (Nivolumab) Compared to Docetaxel in Previously Treated Advanced or Metastatic Squamous Cell Non-small Cell Lung Cancer (NSCLC) (CheckMate 017),0,12,16,0,24,,0,242,290,504
NCT01668784,Phase 3,09/10/2012,Actual,nivolumab,"A Randomized, Open-Label, Phase 3 Study of Nivolumab (BMS-936558) vs. Everolimus in Subjects With Advanced or Metastatic Clear-Cell Renal Cell Carcinoma Who Have Received Prior Anti-Angiogenic Therapy",Study of Nivolumab (BMS-936558) vs. Everolimus in Pre-Treated Advanced or Metastatic Clear-cell Renal Cell Carcinoma (CheckMate 025),2,148,10,2,,,0,,40,1440
NCT01683994,Phase 1/Phase 2,07/09/2012,Actual,cabozantinib,A Phase I and Randomized Phase II Multicenter Study of Cabozantinib (XL184) Plus Docetaxel and Prednisone in Metastatic Castrate Resistant Prostate Cancer,Cabozantinib Plus Docetaxel and Prednisone for Advanced Prostate Cancer,0,2,36,0,4,,0,80,8,50
NCT01693562,Phase 1/Phase 2,05/09/2012,Actual,medi4736,"A Phase 1/2 Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of MEDI4736 in Subjects With Advanced Solid Tumors",A Phase 1/2 Study to Evaluate MEDI4736,0,270,80,10,104,,4,1842,288,1498
NCT01703065,Phase 2,18/06/2013,Actual,cabozantinib,A Pilot Study of the Effects of Cabozantinib (XL184) on Bone Turnover and the Microenvironment in Men With Non-Metastatic and Metastatic Castration-Resistant Prostate Cancer,Cabozantinib in Men With Castration-Resistant Prostate Cancer,0,0,2,0,0,,0,16,6,12
NCT01714739,Phase 1/Phase 2,07/10/2012,Actual,nivolumab,A Phase 1/2 Study of the Combination of Lirilumab (Anti-KIR) Plus Nivolumab (Anti-PD-1) or Lirilumab Plus Nivolumab and Ipilimumab in Advanced Refractory Solid Tumors,A Study of an Anti-KIR Antibody Lirilumab in Combination With an Anti-PD1 Antibody Nivolumab and Nivolumab Plus an Anti-CTLA-4 Ipilimumab Antibody in Patients With Advanced Solid Tumors,2,20,20,,12,,,496,224,574
NCT01721746,Phase 3,21/12/2012,Actual,bms-936558,A Randomized Open-Label Phase 3 Trial of BMS-936558 (Nivolumab) Versus Investigator's Choice in Advanced (Unresectable or Metastatic) Melanoma Patients Progressing Post Anti-CTLA-4 Therapy,A Study to Compare BMS-936558 to the Physician's Choice of Either Dacarbazine or Carboplatin and Paclitaxel in Advanced Melanoma Patients That Have Progressed Following Anti-CTLA-4 Therapy (CheckMate 037),,,,,10,,,354,446,
NCT01721759,Phase 2,16/11/2012,Actual,nivolumab,A Single-Arm Phase 2 Study of Nivolumab (BMS-936558) in Subjects With Advanced or Metastatic Squamous Cell Non-Small Cell Lung Cancer Who Have Received At Least Two Prior Systemic Regimens,Study of Nivolumab (BMS-936558) in Patients With Advanced or Metastatic Squamous Cell Nonsmall-cell Lung Cancer Who Have Received At Least 2 Prior Systemic Regimens,0,2,11,0,0,,,74,48,99
NCT01738438,Phase 2,28/02/2013,Actual,cabozantinib,A Phase II Study of XL184 (Cabozantinib) for Metastatic Triple-Negative Breast Cancer,Cabozantinib for Metastatic Triple Negative BrCa,0,0,3,0,,,0,,0,32
NCT01755195,Phase 2,15/01/2013,Actual,cabozantinib,"A Phase 2 Study of Cabozantinib (XL184), a Dual Inhibitor of MET and VEGFR, in Patients With Metastatic Refractory Soft Tissue Sarcoma",Cabozantinib for Adults With Advanced Soft Tissue Sarcoma,1,10,9,0,11,,0,43,3,33
NCT01761266,Phase 3,01/03/2013,Actual,lenvatinib,"A Multicenter, Randomized, Open-Label, Phase 3 Trial to Compare the Efficacy and Safety of Lenvatinib (E7080) Versus Sorafenib in First-Line Treatment of Subjects With Unresectable Hepatocellular Carcinoma","A Multicenter, Open-Label, Phase 3 Trial to Compare the Efficacy and Safety of Lenvatinib (E7080) Versus Sorafenib in First-line Treatment of Participants With Unresectable Hepatocellular Carcinoma",2,1320,26,2,34,,,1880,0,552
NCT01772004,Phase 1,31/01/2013,Actual,avelumab,"A Phase I, Open-label, Multiple-ascending Dose Trial to Investigate the Safety, Tolerability, Pharmacokinetics, Biological and Clinical Activity of Avelumab (MSB0010718C) in Subjects With Metastatic or Locally Advanced Solid Tumors and Expansion to Selected Indications",Avelumab in Metastatic or Locally Advanced Solid Tumors (JAVELIN Solid Tumor),10,326,182,8,,,0,,366,2620
NCT01834651,Phase 2,30/04/2013,Actual,cabozantinib,A Phase II Study of Cabozantinib (XL184) Therapy in Castrate Resistant Prostate Cancer (CRPC) With Visceral Metastases,A Phase II Study of Cabozantinib (XL184) Therapy in Castrate Resistant Prostate Cancer (CRPC) With Visceral Metastases,0,0,0,0,,,0,,1,16
NCT01848834,Phase 1,07/05/2013,Actual,pembrolizumab,A Phase Ib Multi-Cohort Study of MK-3475 in Subjects With Advanced Solid Tumors,Study of Pembrolizumab (MK-3475) in Participants With Advanced Solid Tumors (MK-3475-012/KEYNOTE-012),4,96,38,0,24,,4,510,66,446
NCT01876511,Phase 2,30/09/2013,Actual,mk-3475,Phase 2 Study of MK-3475 in Patients With Microsatellite Unstable (MSI) Tumors,"Study of MK-3475 in Patients With Microsatellite Unstable (MSI) Tumors (Cohorts A, B and C)",0,12,14,0,8,,0,216,4,198
