nct_id,phase,start_date,enrollment_type,drug,official_title,brief_title,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT00054665,Phase 2,28/02/2003,Actual,bortezomib,PS-341 and PS-341 + Epoch Chemotherapy and Molecular Profiling in Relapsed or Refractory Diffuse Large B-Cell Lymphomas,PS-341 Alone and PS-341 Plus EPOCH Chemotherapy to Treat Non-Hodgkin's Lymphoma,0,0,4,0,1,,0,,2,93
NCT00062439,Phase 2,31/07/2003,Actual,docetaxel,"A Phase II Trial of Induction Chemoradiotherapy With Cisplatin/Etoposide Followed by Surgical Resection, Followed by Docetaxel, for Non-Small Cell Lung Cancer Involving the Superior Sulcus (Pancoast Tumors)",S0220: Chemoradiotherapy Followed By Surgery and Docetaxel in Treating Patients With Pancoast Tumors,1,3,0,0,,,0,,0,40
NCT00065182,Phase 2,14/08/2003,Actual,docetaxel,WEEKLY IV TOPOTECAN/DOCETAXEL COMBINATION COMPARED TO DOCETAXEL IN PATIENTS WITH PRETREATED ADVANCED NSCLC: AN OPEN-LABEL MULTICENTER RANDOMIZED PHASE III TRIAL,Comparison of IV Topotecan/Docetaxel to Docetaxel Alone in Second-Line Stage IIIB/IV Non-Small Cell Lung Cancer,0,12,46,0,,,0,,6,734
NCT00089609,Phase 2,19/04/2005,Actual,docetaxel,"A Phase II Trial of Docetaxel, Thalidomide, Prednisone and Bevacizumab in Patients With Androgen-Independent Prostate Cancer","Docetaxel, Thalidomide, Prednisone, and Bevacizumab to Treat Metastatic Prostate Cancer",0,0,22,0,8,,0,,2,260
NCT00103376,Phase 2,31/10/2004,Actual,bortezomib,VELCADE® (Bortezomib) for Injection Therapy for Early Relapsed Prostate Cancer,Bortezomib With or Without Hormone Therapy in Treating Patients With Relapsed Prostate Cancer,0,0,6,0,,,0,,0,40
NCT00108069,Phase 2,30/04/2005,Actual,bortezomib,A Phase II Trial of Tamoxifen and Bortezomib in Patients With Recurrent High-Grade Gliomas,Tamoxifen and Bortezomib to Treat Recurrent Brain Tumors,0,2,0,0,2,,0,,8,156
NCT00109005,Phase 2,30/04/2005,Actual,lenalidomide,"A Randomized Phase II Study of Oral Lenalidomide (Revlimid [TM]), an Antiangiogenic and Immunomodulatory Agent, in Subjects With Stage IV Ocular Melanoma",Lenalidomide (Revlimid) to Treat Advanced Ocular Melanoma,0,2,0,0,0,,0,,0,66
NCT00114738,Phase 2,15/06/2005,Actual,bortezomib,Randomized Phase II Study of Dose-Adjusted EPOCH-Rituximab-Bortezomib (EPOCH-R-B) Induction Followed by Bortezomib Maintenance Versus Observation in Untreated Mantle Cell Lymphoma With Microarray Profiling and Proteomics,EPOCH-R Chemotherapy Plus Bortezomib to Treat Mantle Cell Lymphoma,0,2,2,0,4,,0,,3,95
NCT00116753,Phase 2,31/01/2005,Actual,degarelix,"An Open-label Multi-center, Randomized Parallel Group Comparison of Efficacy and Safety of Degarelix Three-Month Depot in Three Different Dosing Regimens in Patients With Prostate Cancer",A Comparative Study of Degarelix Three-month Depot in Three Different Dosing Regimens in Patients With Prostate Cancer,12,24,192,6,,,0,,0,2448
NCT00116779,Phase 2,29/02/2004,Actual,degarelix,"An Open-label, Randomized, Multi-center, Parallel Group Comparison of the Efficacy and Safety of Degarelix at Two Different Dosing Regimens in Patients With Prostate Cancer Dosed for Thirteen 28-day Cycles",A Parallel Group Comparison of the Efficacy and Safety of Degarelix at Two Different Dosing Regimens in Patients With Prostate Cancer,0,4,36,0,,,0,,0,214
