Rec no.,TA ID,Year of Publication,Process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
3,TA003,2000/01,MTA,Paclitaxel,Pharmaceutical,Ovarian cancer,Recommended,Guidance has been replaced by TA55. Recommendation in line with marketing authorisation.
5,TA005,2000/01,MTA,Liquid Based Cytology (LBC),Other therapeutic therapies,Cervical cancer,Only in Research,"Guidance has been replaced by TA69. At the time of appraisal the Committee advised that there was insufficient evidence to justify the nationwide introduction of LBC technology. However they recommended that large-scale pilot implementation studies should be carried out to evaluate the effectiveness, costs and practical implications of the introduction of LBC technology into the cervical screening programme.  "
6,TA006,2000/01,MTA,Docetaxel,Pharmaceutical,Advanced breast cancer,Recommended,Guidance has been replaced by TA30. Recommendation in line with marketing authorisation.
7,TA006,2000/01,MTA,Paclitaxel,Pharmaceutical,Advanced breast cancer,Recommended,Guidance has been replaced by TA30. Recommendation in line with marketing authorisation.
27,TA017,2000/01,MTA,Laparoscopic surgery ,Surgical procedure,Colorectal cancer ,Only in Research,Guidance replaced by TA105. At the time of appraisal it was recommended that laparoscopic surgery for colorectal cancer should be limited to use in a randomised controlled trial setting.
35,TA023,2001/02,MTA,Temozolomide,Pharmaceutical,Brain cancer (recurrent),Recommended,Recommendation in line with marketing authorisation. 
42,TA025,2001/02,MTA,Gemcitabine (1st line),Pharmaceutical,Pancreatic cancer ,Recommended,Recommended in line with clinical practice. 
43,TA025,2001/02,MTA,Gemcitabine (2nd line),Pharmaceutical,Pancreatic cancer ,Not Recommended,At the time of appraisal there was insufficient evidence to support the use of gemcitabine as a second-line treatment in patients with pancreatic adenocarcinoma.
44,TA026,2001/02,MTA,Docetaxel (2nd line),Pharmaceutical,Non-small cell lung cancer ,Recommended,Guidance has been incorporated in CG24. Recommendation in line with marketing authorisation.
45,TA026,2001/02,MTA,Gemcitabine (1st line),Pharmaceutical,Non-small cell lung cancer ,Recommended,Guidance has been incorporated in CG24. Recommendation in line with marketing authorisation.
46,TA026,2001/02,MTA,Paclitaxel (1st line),Pharmaceutical,Non-small cell lung cancer ,Recommended,Guidance has been incorporated in CG24. Recommendation in line with marketing authorisation.
47,TA026,2001/02,MTA,Vinorelbine (1st line),Pharmaceutical,Non-small cell lung cancer ,Recommended,Guidance has been incorporated in CG24. Recommendation in line with marketing authorisation.
52,TA028,2001/02,MTA,Topotecan (2nd and subsequent lines of treatment),Pharmaceutical,Advanced ovarian cancer ,Recommended,Guidance has been replaced by TA91. Recommendation in line with marketing authorisation.
53,TA029,2001/02,MTA,Fludarabine -  Intravenous formulation (2nd line),Pharmaceutical,Leukaemia (B-cell chronic lymphocytic),Recommended,Recommendation in line with marketing authorisation.
54,TA029,2001/02,MTA,Fludarabine - Oral formulation (2nd line),Pharmaceutical,Leukaemia (B-cell chronic lymphocytic),Recommended,Recommendation in line with marketing authorisation.
55,TA030,2001/02,MTA,Docetaxel (2nd line),Pharmaceutical,Advanced breast cancer ,Recommended,Update of guidance TA6. Guidance has been incorporated in   CG81. Recommendation in line with marketing authorisation.
56,TA030,2001/02,MTA,Docetaxel in combination with an anthracycline (1st line),Pharmaceutical,Advanced breast cancer ,Not Recommended,"Update of guidance TA6. Guidance has been incorporated in CG81. At the time of appraisal, the technology was not considered to be an appropriate use of NHS resources based on the data available."
57,TA030,2001/02,MTA,Paclitaxel (2nd line),Pharmaceutical,Advanced breast cancer ,Recommended,Update of guidance TA6. Guidance has been incorporated in CG81. Recommendation in line with marketing authorisation.
