nct_id,phase,start_date,enrollment_type,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT00129987,Not Applicable,30/11/2003,Actual,0,182,92,0,,,28,,24,808
NCT00135226,Phase 4,31/03/2005,Actual,,,280,,,368,,,442,29870
NCT00508196,Not Applicable,30/11/2006,Actual,0,0,0,0,,,0,,0,22
NCT00509925,Phase 4,31/07/2007,Actual,0,0,0,0,,,0,,0,23
NCT00534703,Phase 2,31/07/2014,Actual,,,2,,,,,,,8
NCT00633022,Phase 2,02/06/2008,Actual,0,6,8,0,,,0,,0,184
NCT00647348,Phase 2,31/01/2008,Actual,0,4,6,0,,,0,,6,264
NCT00702221,Phase 2,30/06/2008,Actual,0,0,2,0,,,0,,2,22
NCT00750438,Not Applicable,30/09/2008,Actual,0,18,12,0,,,0,,0,68
NCT00844597,Phase 1/Phase 2,31/01/2009,Actual,0,2,0,0,0,,0,,0,74
NCT00871143,Not Applicable,30/04/2009,Actual,0,2,10,0,,,6,,0,74
NCT00884949,Phase 1/Phase 2,30/04/2009,Actual,,,,,0,,,,0,20
NCT00977431,Phase 1,17/09/2009,Actual,0,2,0,0,,,0,,0,70
NCT00982878,Phase 1,30/09/2009,Actual,0,0,7,0,,,1,,0,4
NCT01006538,Phase 4,30/11/2009,Actual,0,0,0,0,,,0,,0,726
NCT01015703,Phase 1,30/11/2009,Actual,0,2,8,0,,,0,,0,90
NCT01114438,Not Applicable,31/10/2010,Actual,0,0,0,0,0,,0,,90,0
NCT01114503,Phase 2,07/07/2010,Actual,0,0,0,0,,,0,,0,2
NCT01120028,Phase 2/Phase 3,30/09/2010,Actual,,162,108,,,,,44,,2178
NCT01178099,Phase 1,31/07/2010,Actual,0,2,32,0,4,,0,,0,66
NCT01185548,Phase 1,31/07/2010,Actual,0,0,0,0,,,0,,0,4
NCT01215968,Phase 1,30/09/2010,Actual,0,8,0,0,0,,0,,0,144
NCT01242111,Phase 1/Phase 2,30/11/2010,Actual,,,,,0,,,,0,20
NCT01250834,Phase 1,31/12/2010,Actual,0,1,1,0,0,,0,,0,52
NCT01252953,Phase 3,30/06/2011,Actual,,17742,656,,470,,66,192,50268,52402
