nct_id,phase,start_date,enrollment_type,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT00056550,Phase 3,31/12/2002,Actual,0,0,0,0,,,0,,1,13
NCT00094328,Phase 2,22/11/2004,Actual,,3,2,,1,,,1,9,12
NCT00116753,Phase 2,31/01/2005,Actual,4,8,64,2,,,0,,0,816
NCT00129987,Not Applicable,30/11/2003,Actual,0,182,92,0,,,28,,24,808
NCT00135226,Phase 4,31/03/2005,Actual,,,280,,,368,,,442,29870
NCT00160693,Phase 3,31/03/2003,Actual,0,3,19,0,,,0,,17,363
NCT00172185,Phase 3,10/01/2005,Actual,0,0,12,0,,,0,,0,118
NCT00175916,Phase 3,30/09/2005,Actual,,123,2,,,,,7,,721
NCT00199901,Phase 2,30/09/2005,Actual,,,,,0,,,,210,10
NCT00260832,Phase 3,30/11/2005,Actual,0,120,6,0,,,0,,0,844
NCT00262600,Phase 3,31/12/2005,Actual,,,,,2488,,,,2,33736
NCT00264849,Phase 4,30/11/2005,Actual,4,4,0,0,,,0,,10,782
NCT00268892,Phase 2/Phase 3,31/01/2006,Actual,2,4,22,0,,,0,,0,528
NCT00281684,Phase 2,07/12/2005,Actual,0,86,10,2,,,2,,0,190
NCT00294671,Phase 2/Phase 3,28/02/2006,Actual,0,28,12,0,,,14,,2,204
NCT00295750,Phase 3,28/02/2006,Actual,118,4,76,0,,,0,,0,1022
NCT00306202,Phase 1,31/03/2006,Actual,,,,,0,,,,114,2
NCT00310180,Phase 3,07/04/2006,Actual,78,810,1386,60,,,20,,706,16378
NCT00318461,Phase 3,31/05/2006,Actual,0,196,52,0,,,0,,34,1892
NCT00320190,Phase 2,31/08/2006,Actual,0,0,2,0,,,0,,0,62
NCT00326625,Phase 2,27/07/2006,Actual,,,2,,2,,,,,728
NCT00332202,Phase 3,30/06/2006,Actual,2,434,14,,74,64,,,,928
NCT00353496,Phase 3,30/06/2006,Actual,0,14,8,0,,,0,,0,386
NCT00370552,Phase 2,31/03/2007,Actual,0,6,8,0,,,0,,4,228
NCT00378482,Phase 2,05/03/2007,Actual,0,0,0,0,,,0,,0,37
NCT00388726,Phase 3,30/11/2006,Actual,0,10,68,0,,,0,,40,1406
NCT00404768,Phase 2,12/10/2007,Actual,6,22,14,0,,,0,,0,144
NCT00409539,Phase 2,31/12/2006,Actual,0,10,28,0,,,0,,0,1062
NCT00412984,Phase 3,31/12/2006,Actual,100,5284,454,8,7222,250,,496,8,58982
NCT00419562,Phase 3,28/02/2007,Actual,,20,34,,104,,,,64,2018
NCT00423605,Phase 3,31/12/2006,Actual,5,6,34,0,,,2,,1,512
NCT00423657,Phase 3,31/03/2007,Actual,,,,,244,,,,0,1116
NCT00423813,Phase 3,31/12/2006,Actual,6,8,78,0,,,6,,0,1048
NCT00423891,Phase 1/Phase 2,30/06/2007,Actual,0,64,4,2,,,2,,2,22
NCT00428090,Phase 3,27/02/2007,Actual,8,268,14,0,,,14,,0,802
NCT00443703,Phase 3,31/05/2007,Actual,0,10,104,0,96,,8,,0,1174
NCT00451217,Phase 3,17/11/2005,Actual,0,0,2,0,58,,0,,2,694
NCT00456092,Phase 2,05/03/2007,Actual,0,6,2,,2,,,4,,394
NCT00474058,Phase 3,31/05/2007,Actual,0,4,6,0,,,0,,38,486
NCT00480025,Phase 3,04/10/2007,Actual,2,1104,42,2,,32,,24,2,3336
NCT00490568,Phase 3,08/08/2007,Actual,6,52,7,0,,,0,,0,1396
NCT00492531,Phase 2,30/06/2007,Actual,0,0,146,0,0,,0,,12,138
NCT00496769,Phase 3,31/08/2007,Actual,24,2170,72,8,,,,124,,8798
NCT00503698,Phase 3,31/07/2007,Actual,6,24,454,2,242,,62,,24,1966
NCT00504556,Phase 2,30/06/2007,Actual,0,2,4,2,,,0,,46,2232
NCT00506519,Phase 2,31/07/2007,Actual,,4,,,,,,,,46
NCT00507507,Phase 2,30/09/2007,Actual,,,,,0,,,,0,252
